asset_version_id,asset_id,client_name,default_vintage_model_id,name_y,version_actif,type,status,asset_building_type,surface,accessible_entrance,accessible_lift,accessible_toilets,aem,air_conditioning_system,air_filtration,alt_gen,appli_security,asbestos,auditorium,bim_and_buildings_structure_data,bms_light,bms_thermal,carcass,caretaker,catering,ceiling_height,central,central_core_elevator_lobby_ccel,circulation,co2_hvac,co2_parking,compliance_score,corridor,data_security,daylight,dead_spaces,delivery,digital_services,double_glazing,elevator_distribution,end_point_security,energy_diagnosis,entrance,external_acoustic_insulation,external_structure,facade,fibre_distribution,fibre_equipment,fire_detection,fire_protection_systems,flood_resist,freight_elevator,garden_and_atrium,hermetic_envelope,hotel,hvac_age,hvac_obsolescence,hygrometry,industrial_technological_resist,inter_slab,internal_acoustic_insulation,internal_structure,internet_redundancy,internet_type,itc,last_refurbishment,lead,light_control,lighting_obsolescence,lobby,max_dens,meeting_zone,mining_resist,mobile_phone_signal,multifamily,network_security,nursery,parkings,physical_security,pml_seismic,proximity,public_access,raised_floor,reception,refurbishment_workspace,renewable_energy,restaurant,retail,reverberation,secure_telecom,secured_spaces,signature,smoke,south,spare_capacity,stairs,steps,suspended_ceiling,systems_back_up,telecom_age,terminal,terrace,thickness,training_room,transfer,transparency,typhoon_resist,upper_transfer,ups,ventilation,versatility_of_spaces,vertical_ways,view,voc_reduction,wall_insulation,wastes_sorting,water_obsolescence,water_recycling
8727,726,Poste Immo,12,111 Bd Brune,V2,BaseAssetVersion,ACTUAL,STANDARD,43650.24,0,0,0,-1,2,1,0,1,0,0,-2,2,2,0,1,1,1,0,1,0,,2,1,0,1,1,0,1,1,0,-1,1,-2,1,,0,0,1,2,0,0,,1,1,0,1,-2,1,-1,,1,,1,0,1,1,-2,0,0,2,1,-2,1,,1,1,1,1,0,1,2,-2,1,-1,1,-2,0,1,-1,-1,1,0,1,1,1,1,-1,0,0,,-2,0,1,-2,1,0,1,,0,2,0,0,1,0,2,0,1,-1,0
8631,715,DTZ,12,Equinox,V2,BaseAssetVersion,ACTUAL,STANDARD,24992,0,0,0,0,2,1,0,-1,0,0,-2,1,1,0,1,1,-1,0,1,0,1,0,1,0,-1,1,0,1,-1,0,0,-1,-1,1,0,0,1,-1,2,0,0,-1,0,0,0,1,1,0,-1,,0,-1,0,0,1,1,-2,0,0,0,2,-1,1,,1,1,-1,0,0,1,2,-1,0,0,1,2,0,1,-1,1,1,0,0,1,2,-1,0,0,0,1,0,-1,2,-2,0,0,0,,0,0,0,0,1,0,0,0,0,1,1
8663,714,DTZ,12,Mozaik,V2,BaseAssetVersion,ACTUAL,STANDARD,19000,0,0,0,0,2,1,2,1,0,1,-2,1,1,0,1,1,-1,0,1,0,1,1,1,0,-1,2,0,1,1,0,0,-1,-1,1,-2,1,1,1,2,0,0,,1,1,0,1,1,1,1,,-2,-1,1,1,1,1,0,0,1,1,2,-1,1,,1,1,1,0,0,1,2,0,2,0,1,2,1,1,-1,1,1,0,1,0,1,-1,0,0,0,1,0,0,2,-2,0,0,1,,-1,2,0,0,1,0,2,0,1,-1,0
8123,680,RQR,12,Chateaudun Simulation,V2,BaseAssetVersion,ACTUAL,,,0,0,0,-1,1,,1,,0,0,-1,0,1,-1,1,-1,-1,0,1,0,,,1,0,,1,0,1,,0,0,,0,1,0,0,1,,0,0,0,,0,1,0,1,-2,-2,,,0,,-1,,0,0,-2,0,0,-1,-1,0,1,,,-1,,0,0,,,0,,0,1,-1,0,1,1,,1,-1,0,0,0,,0,0,0,,-2,-1,1,1,1,-1,-1,,-1,1,0,0,,0,,0,1,,
7949,678,Allianz,12,40 Rhodanie,V2,BaseAssetVersion,ACTUAL,STANDARD,11611,0,0,0,0,2,-1,,1,0,0,,1,1,,1,1,,0,1,0,,1,1,0,,0,0,1,,0,0,,,1,0,0,1,1,1,,,,0,0,,1,0,0,,,0,1,1,,1,1,-1,0,1,0,1,,1,,-1,1,,0,0,1,2,-1,1,0,1,0,0,-1,-1,1,1,0,0,0,2,,-1,0,0,,-1,-1,2,-1,1,0,0,,0,,0,0,1,1,,0,,,1
8402,613,Allianz,12,Lindenstr67,V2,BaseAssetVersion,ACTUAL,STANDARD,39321,0,0,0,0,1,1,0,1,0,0,,1,1,0,0,-1,-1,0,0,0,0,0,1,0,-1,0,0,1,,0,-1,-1,1,1,0,0,0,,0,0,1,,0,1,,1,-1,-2,,,0,,0,,0,,2,0,,-2,0,,1,,,1,1,0,0,1,2,-2,,,1,-2,0,-1,-1,,,0,0,0,1,,-1,0,,,-2,-1,1,2,0,-1,-1,,0,2,0,0,1,0,,0,1,1,
8388,612,Allianz,12,Eberhardstrasse31,V2,BaseAssetVersion,ACTUAL,STANDARD,14958,0,0,-1,0,0,1,,,0,0,,,1,,1,1,-2,0,0,0,0,0,1,0,,2,0,1,,0,-1,,0,0,,0,-1,,0,0,1,,,1,-2,1,-2,-2,,,0,,0,,1,1,-1,0,,-2,2,,,,,1,,,,,2,-2,,-1,1,-2,0,1,-1,,,0,,,2,,-1,0,0,,-2,-1,1,-2,,0,-2,,0,,0,0,1,0,,0,1,-1,0
8381,611,Allianz,12,Atlas,V3,BaseAssetVersion,ACTUAL,TOUR_IGH,26205,-1,0,0,0,2,1,2,,0,0,,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,-1,0,0,,0,1,0,0,2,1,0,0,1,,0,1,0,1,2,2,-1,-1,0,-1,1,1,1,1,2,0,1,2,1,-1,1,-1,1,1,1,0,0,1,2,-2,2,0,1,2,1,1,-1,1,,0,0,1,1,1,-1,0,0,,2,-1,2,2,0,0,1,,0,2,0,0,1,1,1,0,1,1,0
8626,162,La Française,12,Carre Feydeau,V2,BaseAssetVersion,ACTUAL,STANDARD,2559,0,0,0,0,2,,0,,0,,,1,1,0,,,,0,0,0,,0,1,0,,-2,0,,,0,-1,,-1,0,,0,0,,2,0,0,,0,1,0,1,-2,-2,,,,,0,,1,0,,0,0,0,0,1,,,,1,,,,,2,-2,,-1,,1,0,,1,,,0,0,0,0,,0,0,0,,,0,1,1,,0,0,,0,0,0,-1,,2,,0,1,-1,0
8618,156,Nuveen,12,36 La Fayette,V4,BaseAssetVersion,ACTUAL,STANDARD,,0,0,0,0,2,1,0,1,0,1,0,1,1,0,1,1,-1,0,1,0,1,,1,0,1,2,0,1,1,0,0,1,1,1,0,0,1,1,2,0,0,,1,1,0,1,2,2,-1,,0,1,-1,1,1,1,2,0,1,2,2,2,1,,1,1,1,0,-1,1,2,-2,1,-1,1,2,1,-1,-1,1,1,0,0,1,1,1,0,0,0,1,2,-1,0,-2,1,,-1,,0,1,0,0,1,1,1,0,1,1,0
