assetId,assetName,missingDataRate,1,2,3,4,5,6,7,81,82,83,9,10,11,12,13,14,Proximity to public transport infrastructure,Proximity of resources,Accessibility by car,Proximity to metropolitan center,Air quality,Safety of the area,Noise prevention (Peacefulness),Security of natural environment,"Security of technological, industrial and mining environment",Prestige of the building's location,Stability of competition,Attractiveness of neighbourhood,market,floorArea,propertyType,propertySubType,vintageModel,status,cause,version,external,ipc,streetNumber,street,zipCode,city,state,country,manualAddress,latitude,longitude,transactionType,value,transactionDate,year,floorVacancyRate,tenantStatus,nature,transactionShare,source,cartodb_id
id_21,"15 boulevard de la Prairie au Duc, 44000 Nantes",0,13,,34,41,51,63,72,811,821,831,91,102,111,,131,141,"4,451274969","4,490576165","2,823463649","3,836164701","4,623495525","5,185063802","2,083355305","6,582671632","7,178897597","5,373594426","3,99048","4,355436787",Nantes office market,3980,OFFICES,TOUR_IGH,O2019,ACTUAL,INITIAL,V0,Internal,,15,boulevard de la Prairie au Duc,44000,Nantes,,France,,47.20492,-1.55744,SALE,17 300 000,2021-11-01,2021,0,MULTI_TENANT,TRANSACTION,,,
id_22,"4 rue du Groupe d'Or, 31700 Blagnac",0,12,,34,43,52,62,71,811,821,831,91,102,112,122,132,141,"3,959670284","4,186810212","2,542298982","3,65725373","4,855833028","5,316026519","1,216642262","6,587924409","7,172892486","5,324768171","3,99048","4,289709294",Toulouse office market,15205,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,4,rue du Groupe d'Or,31700,Blagnac,,France,,43.6303835,1.3812804,SALE,46 200 000,2020-01-01,2020,0,MULTI_TENANT,TRANSACTION,,,
id_23,"3547 route La Lauragaise, 31670 Labège",0,12,,33,41,51,61,72,812,821,831,93,102,112,,132,141,"4,380730635","4,241885206","2,435471056","3,731599009","4,870260056","5,134218604","1,230152788","6,634707691","7,163143429","5,347694773","3,99048","4,280289923",Toulouse office market,42,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,3547,route La Lauragaise,31670,Labège,,France,,43.55074,1.51081,SALE,54 600,2020-01-01,2020,0,SINGLE_TENANT,TRANSACTION,,,
id_24,"20 avenue Didier Daurat, 31000 Toulouse",0,12,,34,41,52,62,72,811,821,831,93,102,113,121,131,141,"3,977173102","4,537610181","2,479414511","3,944028445","4,64789913","5,0841526","1,203275656","6,553612256","7,218825617","5,515169824","3,99048","4,321912027",Toulouse office market,177,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,20,avenue Didier Daurat,31000,Toulouse,,France,,43.56796,1.49293,SALE,300 900,2020-02-01,2020,0,MULTI_TENANT,TRANSACTION,,,
id_25,"13 rue Paulin Talabo, 31000 Toulouse",0,12,23,34,41,51,61,72,811,821,831,92,102,113,121,131,141,"4,59629449","4,64824163","2,51302188","3,960936122","4,662553371","4,968590749","1,197205235","6,554686064","7,221022609","5,526664127","3,99048","4,317861371",Toulouse office market,2518,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,13,rue Paulin Talabo,31000,Toulouse,,France,,43.56454,1.38813,SALE,2 400 000,2020-02-01,2020,0,MULTI_TENANT,TRANSACTION,,,
id_26,"3 avenue Hubert Curien, 31000 Toulouse",0,12,,34,43,52,62,72,811,821,831,91,102,113,,132,141,"4,560543461","4,412130173","2,127682865","3,866266089","4,64138771","4,981422353","1,222770324","6,60657462","7,169431587","5,435504283","3,99048","4,313774759",Toulouse office market,43727,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,3,avenue Hubert Curien,31000,Toulouse,,France,,43.55801,1.4268,SALE,71 530 000,2020-10-01,2020,0,MULTI_TENANT,TRANSACTION,,,
id_27,"4 rue Marcel Paul, 44000 Nantes",0,12,,34,41,52,62,,813,821,831,91,102,111,,131,141,"4,746241919","4,486486827","3,33029965","3,760555001","4,628054389","5,128900781","3,001883812","6,588046796","7,182559416","5,33780139","3,99048","4,340124378",Nantes office market,3200,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,4,rue Marcel Paul,44000,Nantes,,France,,47.21435,-1.53729,SALE,5 000 000,2020-10-01,2020,0,MULTI_TENANT,TRANSACTION,,,
id_28,"137 cours de l'Yser, 33800 Bordeaux",0,11,,31,41,51,61,72,811,821,831,93,102,111,122,131,141,"5,269868861","4,767861767","3,340709424","4,060549742","4,636882756","4,851260594","3,010427954","6,617254257","7,208306039","5,429982047","3,99048","4,391049657",Bordeaux office market,161,OFFICES,HAUSSMANNIEN,O2019,ACTUAL,INITIAL,V0,Internal,,137,cours de l'Yser,33800,Bordeaux,,France,,44.82467,-0.57024,SALE,499 905,2020-01-01,2020,0,MULTI_TENANT,TRANSACTION,,,
id_29,"6 rue Pierre et Marie Curie, 33520 Bruges",0,12,,34,42,52,62,72,811,821,831,91,102,112,122,132,141,"3,717785704","4,040660842","2,395712385","3,419564224","4,901076126","5,352475366","1,225678927","6,622078467","7,122008929","5,232151619","3,99048","4,192798394",Bordeaux office market,5840,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,6,rue Pierre et Marie Curie,33520,Bruges,,France,,44.8726,-0.58402,SALE,15 000 000,2020-02-01,2020,0,MULTI_TENANT,TRANSACTION,,,
id_30,"485 avenue de Verdun, 33700 Mérignac",0,12,,33,41,51,62,72,811,821,831,93,102,112,,131,141,"4,390622971","4,031258445","3,342846297","3,378800031","4,899318104","5,294952797","3,042041533","6,664791329","7,114668552","5,150665201","3,99048","4,197019755",Bordeaux office market,394,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,485,avenue de Verdun,33700,Mérignac,,France,,44.8414,-0.64455,SALE,915 000,2020-01-01,2020,0,MULTI_TENANT,TRANSACTION,,,
id_31,"31 allée Lavoisier, 59491 Villeneuve-d'Ascq",0,12,,33,41,51,61,72,811,821,831,93,102,112,,131,141,"3,571350961","3,83118679","3,373366547","3,366821489","4,758308447","5,691002516","3,02717879","6,558503127","7,141236443","5,095786688","3,99048","4,346071927",Lille office market,615,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,31,allée Lavoisier,59491,Villeneuve-d'Ascq,,France,,50.64341,3.14185,SALE,650 000,2020-02-01,2020,0,MULTI_TENANT,TRANSACTION,,,
id_32,"5 place Jules Ferry, 69006 Lyon",0,11,,31,43,53,62,73,811,821,831,91,102,111,,131,141,"5,105148869","5,413676929","3,243995955","4,515422971","4,605433702","4,182464054","2,03427796","6,650684144","7,236698352","5,526785034","3,99048","4,807445053",Lyon office market,21180,OFFICES,HAUSSMANNIEN,O2019,ACTUAL,INITIAL,V0,Internal,,5,place Jules Ferry,69006,Lyon,,France,,45.76667,4.85887,SALE,120 000 000,2020-01-01,2020,0,MULTI_TENANT,TRANSACTION,,,
id_33,"141 cours Gambetta, 69003 Lyon",0,12,21,33,43,52,62,72,814,821,832,91,102,111,123,131,141,"5,75640091","5,505020299","4,486313432","4,775359228","4,233888291","2,260267464","3,017953222","6,225908315","7,475628816","6,459398844","3,99048","3,919211041",Lyon office market,20200,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,141,cours Gambetta,69003,Lyon,,France,,45.7499,4.85911,SALE,120 000 000,2020-10-01,2020,0,MULTI_TENANT,TRANSACTION,,,
id_34,"34 rue du 35ème Régiment d'Aviation, 69500 Bron",0,12,,,41,53,61,71,811,821,831,93,102,112,,132,141,"4,13781485","4,178173713","3,189868043","3,515255881","4,933157619","5,062620093","3,065918368","6,716185799","7,125019447","5,207654455","3,99048","4,171215887",Lyon office market,78,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,34,rue du 35ème Régiment d'Aviation,69500,Bron,,France,,45.73538,4.93178,SALE,120 978,2020-07-01,2020,0,MULTI_TENANT,TRANSACTION,,,
id_35,"353 avenue Tony Garnier, 69007 Lyon",0,12,,31,42,53,62,72,813,821,831,91,102,112,,131,141,"4,220478852","4,775529233","2,928165294","4,187166244","4,645398975","4,887702463","2,121935499","6,591613579","7,223228081","5,507576915","3,99048","4,379374961",Lyon office market,7200,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,353,avenue Tony Garnier,69007,Lyon,,France,,45.72677,4.82496,SALE,38 000 000,2020-02-01,2020,0,MULTI_TENANT,TRANSACTION,,,
id_36,"6 rue Abraham Bloch, 69007 Lyon",0,12,21,35,41,52,62,,811,821,831,92,102,112,122,131,141,"3,894341053","5,120446967","2,700652968","4,428018623","4,685975573","4,699899977","1,200645766","6,600160224","7,274134651","5,689512882","3,99048","4,377224834",Lyon office market,2800,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,6,rue Abraham Bloch,69007,Lyon,,France,,45.73951,4.84165,SALE,13 500 000,2020-07-01,2020,0,MULTI_TENANT,TRANSACTION,,,
id_37,"52 quai Paul Sédallian, 69009 Lyon",0,12,23,33,43,53,61,71,811,821,831,91,102,112,122,131,141,"4,104335243","4,441321219","3,321522342","3,839435293","4,584796552","5,202902887","3,014980938","6,568848787","7,18692978","5,333017958","3,99048","4,382237118",Lyon office market,32698,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,52,quai Paul Sédallian,69009,Lyon,,France,,45.78772,4.81456,SALE,20 700 000,2020-01-01,2020,0,MULTI_TENANT,TRANSACTION,,,
id_38,"4 chemin du Ruisseau, 69130 Écully",0,12,23,34,41,52,62,71,811,821,831,92,102,112,,131,141,"4,659827744","4,04596098","3,163287609","3,411904121","4,936510578","5,139955474","3,067207783","6,69526932","7,099510174","5,14413908","3,99048","4,163275306",Lyon office market,4318,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,4,chemin du Ruisseau,69130,Écully,,France,,45.77072,4.78518,SALE,8 600 000,2020-01-01,2020,"0,08",MULTI_TENANT,TRANSACTION,,,
id_39,"208-210 avenue Jean Jaurès, 69007 Lyon",0,12,,34,42,52,62,,811,821,831,91,102,112,,,141,"3,604579958","4,991647788","3,655652503","4,298759025","4,644136313","4,834267102","3,012353714","6,634390174","7,258400225","5,566693461","3,99048","4,394668028",Lyon office market,7130,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,208-210,avenue Jean Jaurès,69007,Lyon,,France,,45.73547,4.83589,SALE,37 500 000,2020-10-01,2020,0,MULTI_TENANT,TRANSACTION,,,
id_40,"375 rue Juliette Récamier, 69970 Chaponnay",0,12,,33,42,52,61,,811,821,831,91,102,113,122,131,141,"2,992428097","3,670913393","3,773060469","3,165452127","4,85376001","5,574407578","3,970224146","6,655821983","7,116372235","5,084389479","3,99048","4,160057407",Lyon office market,6300,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,375,rue Juliette Récamier,69970,Chaponnay,,France,,45.64759,4.92357,SALE,17 000 000,2020-10-01,2020,0,SINGLE_TENANT,TRANSACTION,,,
id_41,"13 rue Crépet, 69007 Lyon",0,12,,34,42,52,62,73,812,821,831,91,102,112,123,131,141,"4,01376023","5,027251295","2,631652176","4,36144252","4,675257495","4,7689529","1,199219504","6,58909338","7,260749404","5,646467275","3,99048","4,379426706",Lyon office market,8523,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,13,rue Crépet,69007,Lyon,,France,,45.73979,4.83353,SALE,42 000 000,2020-11-01,2020,0,MULTI_TENANT,TRANSACTION,,,
id_42,"17-19 avenue Albert Einstein, 69100 Villeurbanne",0,12,21,35,43,52,62,71,813,821,831,91,102,112,,132,141,"4,325447232","4,725289093","3,256417091","3,947870776","4,587502344","4,974631702","3,012504571","6,581714433","7,199420195","5,353441919","3,99048","4,402732267",Lyon office market,14802,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,17-19,avenue Albert Einstein,69100,Villeurbanne,,France,,45.7834,4.88287,SALE,65 000 000,2020-11-01,2020,0,MULTI_TENANT,TRANSACTION,,,
id_43,"37 rue Saint-Romain, 69008 Lyon",0,12,,33,41,52,62,72,811,821,831,92,102,111,,131,141,"4,461527018","5,11502274","3,519256172","4,378004083","4,661282659","4,648267828","3,024357561","6,639275884","7,237976057","5,530641377","3,99048","4,406788325",Lyon office market,3830,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,37,rue Saint-Romain,69008,Lyon,,France,,45.74095,4.86536,SALE,8 900 000,2020-11-01,2020,0,MULTI_TENANT,TRANSACTION,,,
id_44,"69 rue de Trion, 69005 Lyon",0,12,,34,41,51,62,,811,821,831,93,102,113,,131,141,"6,237002686","5,046956298","3,355387314","4,137063287","4,681812062","4,530078505","3,013000127","6,637861559","7,214907896","5,470233926","3,99048","4,366577942",Lyon office market,136,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,69,rue de Trion,69005,Lyon,,France,,45.75741,4.81478,SALE,510 000,2020-12-01,2020,0,MULTI_TENANT,TRANSACTION,,,
id_45,"7 chemin du Dodin, 69570 Dardilly",0,12,,33,41,51,61,72,811,821,831,93,102,112,121,131,141,"4,00570741","3,974183821","2,763206432","3,397255746","4,924852046","5,217689119","2,156628301","6,679904291","7,116330746","5,223827933","3,99048","4,144883723",Lyon office market,104,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,7,chemin du Dodin,69570,Dardilly,,France,,45.81817,4.7613,SALE,178 152,2020-07-01,2020,0,MULTI_TENANT,TRANSACTION,,,
id_46,"52 quai Paul Sédaillan, 69009 Lyon",0,12,,33,43,53,61,71,811,821,831,91,102,112,,,141,"4,104335243","4,441321219","3,321522342","3,839435293","4,584796552","5,202902887","3,014980938","6,568848787","7,18692978","5,333017958","3,99048","4,382237118",Lyon office market,14000,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,52,quai Paul Sédaillan,69009,Lyon,,France,,45.78772,4.81456,SALE,63 500 000,2020-01-01,2020,0,SINGLE_TENANT,TRANSACTION,,,
id_47,"39-41 rue Grenette, 69002 Lyon",0,11,,31,42,51,62,72,811,821,831,91,102,111,122,131,141,"6,872078906","6,70590699","4,532828596","4,520108789","4,233411284","3,705313399","2,461912284","6,779053388","7,210666124","5,238157719","3,99048","5,862587522",Lyon office market,5730,OFFICES,HAUSSMANNIEN,O2019,ACTUAL,INITIAL,V0,Internal,,39-41,rue Grenette,69002,Lyon,,France,,45.76346,4.83505,SALE,35 000 000,2020-02-01,2020,0,SINGLE_TENANT,TRANSACTION,,,
id_48,"27 boulevard Vauban, 59000 Lille",0,12,21,33,42,52,62,73,811,821,831,91,102,111,,131,141,"5,471476743","4,626506917","3,552020866","4,068097828","4,141186124","3,062536682","2,097636818","6,152742591","7,391084598","6,170685852","3,99048","3,90549265",Lille office market,7800,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,27,boulevard Vauban,59000,Lille,,France,,50.63565,3.05016,SALE,18 000 000,2019-04-01,2019,0,SINGLE_TENANT,TRANSACTION,,,
